epoch,train_loss,valid_loss,recon_mse,time
235,-3.1591920852661133,-2.9899728298187256,0.02847963012754917,00:01
236,-3.1510653495788574,-2.995454788208008,0.029099564999341965,00:01
237,-3.158043146133423,-3.0046417713165283,0.02861858531832695,00:01
238,-3.1570374965667725,-2.9964163303375244,0.028611188754439354,00:01
239,-3.161376476287842,-2.9968385696411133,0.028582220897078514,00:01
240,-3.157515287399292,-2.990612506866455,0.028883950784802437,00:01
241,-3.158860683441162,-2.9879963397979736,0.028855234384536743,00:01
242,-3.1542603969573975,-2.9927666187286377,0.029209965839982033,00:01
243,-3.1493074893951416,-2.997642755508423,0.028455190360546112,00:01
244,-3.158356189727783,-3.0039117336273193,0.029019957408308983,00:01
245,-3.170548915863037,-2.993467092514038,0.02842622995376587,00:01
246,-3.158315896987915,-2.9952924251556396,0.028521165251731873,00:01
247,-3.1639564037323,-2.997053384780884,0.02852696366608143,00:01
248,-3.1632678508758545,-2.9977545738220215,0.02835320495069027,00:01
249,-3.1652092933654785,-2.981459617614746,0.02875189483165741,00:01
250,-3.1634771823883057,-2.995058298110962,0.02860577218234539,00:01
251,-3.154543876647949,-2.994713068008423,0.029013048857450485,00:01
252,-3.163565158843994,-2.9884331226348877,0.02879371866583824,00:01
253,-3.1687512397766113,-2.9887332916259766,0.0285052303224802,00:01
254,-3.169039726257324,-2.997976541519165,0.028985945507884026,00:01
255,-3.1632285118103027,-2.9933159351348877,0.0288738664239645,00:01
256,-3.173102855682373,-2.990135669708252,0.028907181695103645,00:01
257,-3.1664175987243652,-2.9954915046691895,0.028386346995830536,00:01
258,-3.163102388381958,-2.992885112762451,0.028896406292915344,00:01
259,-3.166098117828369,-2.9868059158325195,0.028906095772981644,00:01
260,-3.1702587604522705,-2.9912731647491455,0.028571076691150665,00:01
261,-3.1724026203155518,-2.9937381744384766,0.02871866524219513,00:01
262,-3.1753039360046387,-2.9813156127929688,0.02879132702946663,00:01
263,-3.169637441635132,-2.987682580947876,0.02851237542927265,00:01
264,-3.1728758811950684,-2.981189012527466,0.02878471650183201,00:01
265,-3.1761860847473145,-2.989832639694214,0.02868146449327469,00:01
266,-3.178335666656494,-2.9737040996551514,0.028962017968297005,00:01
